プロット タイトル: site17_spot131_2024,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21155732, SEN S/N: 21155732)",カプラー取り外し (LGR S/N: 21155732),カプラー取り付け (LGR S/N: 21155732),ホスト接続 (LGR S/N: 21155732),ファイルの終わり (LGR S/N: 21155732)
2173,01/23/24 08:00:00 午後,24.219,,,,
2174,01/23/24 09:00:00 午後,24.195,,,,
2175,01/23/24 10:00:00 午後,24.026,,,,
2176,01/23/24 11:00:00 午後,24.026,,,,
2177,01/24/24 12:00:00 午前,24.146,,,,
2178,01/24/24 01:00:00 午前,24.195,,,,
2179,01/24/24 02:00:00 午前,24.146,,,,
2180,01/24/24 03:00:00 午前,24.122,,,,
2181,01/24/24 04:00:00 午前,24.122,,,,
2182,01/24/24 05:00:00 午前,24.026,,,,
2183,01/24/24 06:00:00 午前,24.026,,,,
2184,01/24/24 07:00:00 午前,23.954,,,,
2185,01/24/24 08:00:00 午前,23.93,,,,
2186,01/24/24 09:00:00 午前,23.857,,,,
2187,01/24/24 10:00:00 午前,23.809,,,,
2188,01/24/24 11:00:00 午前,23.761,,,,
2189,01/24/24 12:00:00 午後,23.905,,,,
2190,01/24/24 01:00:00 午後,24.122,,,,
2191,01/24/24 02:00:00 午後,24.146,,,,
2192,01/24/24 03:00:00 午後,24.098,,,,
2193,01/24/24 04:00:00 午後,24.026,,,,
2194,01/24/24 05:00:00 午後,24.002,,,,
2195,01/24/24 06:00:00 午後,23.954,,,,
2196,01/24/24 07:00:00 午後,23.905,,,,
2197,01/24/24 08:00:00 午後,23.905,,,,
2198,01/24/24 09:00:00 午後,23.905,,,,
2199,01/24/24 10:00:00 午後,23.93,,,,
2200,01/24/24 11:00:00 午後,23.881,,,,
2201,01/25/24 12:00:00 午前,23.833,,,,
2202,01/25/24 01:00:00 午前,23.785,,,,
2203,01/25/24 02:00:00 午前,23.761,,,,
2204,01/25/24 03:00:00 午前,23.833,,,,
2205,01/25/24 04:00:00 午前,23.785,,,,
2206,01/25/24 05:00:00 午前,23.713,,,,
2207,01/25/24 06:00:00 午前,23.761,,,,
2208,01/25/24 07:00:00 午前,23.737,,,,
2209,01/25/24 08:00:00 午前,23.785,,,,
2210,01/25/24 09:00:00 午前,23.617,,,,
2211,01/25/24 10:00:00 午前,23.665,,,,
2212,01/25/24 11:00:00 午前,23.785,,,,
2213,01/25/24 12:00:00 午後,23.93,,,,
2214,01/25/24 01:00:00 午後,23.93,,,,
2215,01/25/24 02:00:00 午後,23.978,,,,
2216,01/25/24 03:00:00 午後,24.026,,,,
2217,01/25/24 04:00:00 午後,24.002,,,,
2218,01/25/24 05:00:00 午後,23.978,,,,
2219,01/25/24 06:00:00 午後,23.954,,,,
2220,01/25/24 07:00:00 午後,23.905,,,,
2221,01/25/24 08:00:00 午後,23.857,,,,
2222,01/25/24 09:00:00 午後,23.833,,,,
2223,01/25/24 10:00:00 午後,23.857,,,,
2224,01/25/24 11:00:00 午後,23.833,,,,
2225,01/26/24 12:00:00 午前,23.809,,,,
2226,01/26/24 01:00:00 午前,23.785,,,,
2227,01/26/24 02:00:00 午前,23.761,,,,
2228,01/26/24 03:00:00 午前,23.761,,,,
2229,01/26/24 04:00:00 午前,23.761,,,,
2230,01/26/24 05:00:00 午前,23.737,,,,
2231,01/26/24 06:00:00 午前,23.713,,,,
2232,01/26/24 07:00:00 午前,23.689,,,,
2233,01/26/24 08:00:00 午前,23.713,,,,
2234,01/26/24 09:00:00 午前,23.713,,,,
2235,01/26/24 10:00:00 午前,23.593,,,,
2236,01/26/24 11:00:00 午前,23.521,,,,
2237,01/26/24 12:00:00 午後,23.545,,,,
2238,01/26/24 01:00:00 午後,23.545,,,,
2239,01/26/24 02:00:00 午後,23.569,,,,
2240,01/26/24 03:00:00 午後,23.641,,,,
2241,01/26/24 04:00:00 午後,23.689,,,,
2242,01/26/24 05:00:00 午後,23.713,,,,
2243,01/26/24 06:00:00 午後,23.761,,,,
2244,01/26/24 07:00:00 午後,23.785,,,,
2245,01/26/24 08:00:00 午後,23.785,,,,
2246,01/26/24 09:00:00 午後,23.737,,,,
2247,01/26/24 10:00:00 午後,23.665,,,,
2248,01/26/24 11:00:00 午後,23.665,,,,
2249,01/27/24 12:00:00 午前,23.689,,,,
2250,01/27/24 01:00:00 午前,23.641,,,,
2251,01/27/24 02:00:00 午前,23.593,,,,
2252,01/27/24 03:00:00 午前,23.593,,,,
2253,01/27/24 04:00:00 午前,23.593,,,,
2254,01/27/24 05:00:00 午前,23.593,,,,
2255,01/27/24 06:00:00 午前,23.569,,,,
2256,01/27/24 07:00:00 午前,23.569,,,,
2257,01/27/24 08:00:00 午前,23.569,,,,
2258,01/27/24 09:00:00 午前,23.617,,,,
2259,01/27/24 10:00:00 午前,23.665,,,,
2260,01/27/24 11:00:00 午前,23.665,,,,
2261,01/27/24 12:00:00 午後,23.593,,,,
2262,01/27/24 01:00:00 午後,23.641,,,,
2263,01/27/24 02:00:00 午後,23.593,,,,
2264,01/27/24 03:00:00 午後,23.617,,,,
2265,01/27/24 04:00:00 午後,23.641,,,,
2266,01/27/24 05:00:00 午後,23.713,,,,
2267,01/27/24 06:00:00 午後,23.689,,,,
2268,01/27/24 07:00:00 午後,23.665,,,,
2269,01/27/24 08:00:00 午後,23.641,,,,
2270,01/27/24 09:00:00 午後,23.593,,,,
2271,01/27/24 10:00:00 午後,23.593,,,,
2272,01/27/24 11:00:00 午後,23.593,,,,
2273,01/28/24 12:00:00 午前,23.593,,,,
2274,01/28/24 01:00:00 午前,23.545,,,,
2275,01/28/24 02:00:00 午前,23.545,,,,
2276,01/28/24 03:00:00 午前,23.521,,,,
2277,01/28/24 04:00:00 午前,23.521,,,,
2278,01/28/24 05:00:00 午前,23.497,,,,
2279,01/28/24 06:00:00 午前,23.472,,,,
2280,01/28/24 07:00:00 午前,23.497,,,,
2281,01/28/24 08:00:00 午前,23.545,,,,
2282,01/28/24 09:00:00 午前,23.521,,,,
2283,01/28/24 10:00:00 午前,23.521,,,,
2284,01/28/24 11:00:00 午前,23.521,,,,
2285,01/28/24 12:00:00 午後,23.545,,,,
2286,01/28/24 01:00:00 午後,23.521,,,,
2287,01/28/24 02:00:00 午後,23.521,,,,
2288,01/28/24 03:00:00 午後,23.497,,,,
2289,01/28/24 04:00:00 午後,23.424,,,,
2290,01/28/24 05:00:00 午後,23.521,,,,
2291,01/28/24 06:00:00 午後,23.497,,,,
2292,01/28/24 07:00:00 午後,23.472,,,,
2293,01/28/24 08:00:00 午後,23.448,,,,
2294,01/28/24 09:00:00 午後,23.424,,,,
2295,01/28/24 10:00:00 午後,23.448,,,,
2296,01/28/24 11:00:00 午後,23.352,,,,
2297,01/29/24 12:00:00 午前,23.4,,,,
2298,01/29/24 01:00:00 午前,23.424,,,,
2299,01/29/24 02:00:00 午前,23.448,,,,
2300,01/29/24 03:00:00 午前,23.472,,,,
2301,01/29/24 04:00:00 午前,23.448,,,,
2302,01/29/24 05:00:00 午前,23.448,,,,
2303,01/29/24 06:00:00 午前,23.569,,,,
2304,01/29/24 07:00:00 午前,23.569,,,,
2305,01/29/24 08:00:00 午前,23.569,,,,
2306,01/29/24 09:00:00 午前,23.665,,,,
2307,01/29/24 10:00:00 午前,23.617,,,,
2308,01/29/24 11:00:00 午前,23.761,,,,
2309,01/29/24 12:00:00 午後,23.881,,,,
2310,01/29/24 01:00:00 午後,23.833,,,,
2311,01/29/24 02:00:00 午後,23.761,,,,
2312,01/29/24 03:00:00 午後,23.593,,,,
2313,01/29/24 04:00:00 午後,24.122,,,,
2314,01/29/24 05:00:00 午後,24.171,,,,
2315,01/29/24 06:00:00 午後,24.098,,,,
2316,01/29/24 07:00:00 午後,24.05,,,,
2317,01/29/24 08:00:00 午後,24.026,,,,
2318,01/29/24 09:00:00 午後,23.761,,,,
2319,01/29/24 10:00:00 午後,23.545,,,,
2320,01/29/24 11:00:00 午後,23.593,,,,
2321,01/30/24 12:00:00 午前,23.978,,,,
2322,01/30/24 01:00:00 午前,23.978,,,,
2323,01/30/24 02:00:00 午前,23.978,,,,
2324,01/30/24 03:00:00 午前,23.954,,,,
2325,01/30/24 04:00:00 午前,23.978,,,,
2326,01/30/24 05:00:00 午前,23.978,,,,
2327,01/30/24 06:00:00 午前,23.978,,,,
2328,01/30/24 07:00:00 午前,23.304,,,,
2329,01/30/24 08:00:00 午前,22.968,,,,
2330,01/30/24 09:00:00 午前,23.064,,,,
2331,01/30/24 10:00:00 午前,23.448,,,,
2332,01/30/24 11:00:00 午前,23.665,,,,
2333,01/30/24 12:00:00 午後,23.881,,,,
2334,01/30/24 01:00:00 午後,24.074,,,,
2335,01/30/24 02:00:00 午後,24.098,,,,
2336,01/30/24 03:00:00 午後,24.074,,,,
2337,01/30/24 04:00:00 午後,24.146,,,,
2338,01/30/24 05:00:00 午後,24.171,,,,
2339,01/30/24 06:00:00 午後,24.171,,,,
2340,01/30/24 07:00:00 午後,24.146,,,,
2341,01/30/24 08:00:00 午後,24.122,,,,
2342,01/30/24 09:00:00 午後,24.098,,,,
2343,01/30/24 10:00:00 午後,24.002,,,,
2344,01/30/24 11:00:00 午後,24.026,,,,
2345,01/31/24 12:00:00 午前,24.026,,,,
2346,01/31/24 01:00:00 午前,24.146,,,,
2347,01/31/24 02:00:00 午前,24.291,,,,
2348,01/31/24 03:00:00 午前,24.291,,,,
2349,01/31/24 04:00:00 午前,24.267,,,,
2350,01/31/24 05:00:00 午前,24.315,,,,
2351,01/31/24 06:00:00 午前,24.315,,,,
2352,01/31/24 07:00:00 午前,24.339,,,,
2353,01/31/24 08:00:00 午前,24.339,,,,
2354,01/31/24 09:00:00 午前,24.291,,,,
2355,01/31/24 10:00:00 午前,24.267,,,,
2356,01/31/24 11:00:00 午前,24.243,,,,
2357,01/31/24 12:00:00 午後,24.315,,,,
2358,01/31/24 01:00:00 午後,24.508,,,,
2359,01/31/24 02:00:00 午後,24.557,,,,
2360,01/31/24 03:00:00 午後,24.581,,,,
2361,01/31/24 04:00:00 午後,24.532,,,,
2362,01/31/24 05:00:00 午後,24.508,,,,
2363,01/31/24 06:00:00 午後,24.46,,,,
2364,01/31/24 07:00:00 午後,24.46,,,,
2365,01/31/24 08:00:00 午後,24.436,,,,
2366,01/31/24 09:00:00 午後,24.436,,,,
2367,01/31/24 10:00:00 午後,24.46,,,,
2368,01/31/24 11:00:00 午後,24.46,,,,
2369,02/01/24 12:00:00 午前,24.388,,,,
2370,02/01/24 01:00:00 午前,24.291,,,,
2371,02/01/24 02:00:00 午前,24.219,,,,
2372,02/01/24 03:00:00 午前,24.363,,,,
2373,02/01/24 04:00:00 午前,24.388,,,,
2374,02/01/24 05:00:00 午前,24.388,,,,
2375,02/01/24 06:00:00 午前,24.363,,,,
2376,02/01/24 07:00:00 午前,24.339,,,,
2377,02/01/24 08:00:00 午前,24.388,,,,
2378,02/01/24 09:00:00 午前,24.46,,,,
2379,02/01/24 10:00:00 午前,24.508,,,,
2380,02/01/24 11:00:00 午前,24.508,,,,
2381,02/01/24 12:00:00 午後,24.388,,,,
2382,02/01/24 01:00:00 午後,24.653,,,,
2383,02/01/24 02:00:00 午後,24.702,,,,
2384,02/01/24 03:00:00 午後,24.702,,,,
2385,02/01/24 04:00:00 午後,24.702,,,,
2386,02/01/24 05:00:00 午後,24.677,,,,
2387,02/01/24 06:00:00 午後,24.677,,,,
2388,02/01/24 07:00:00 午後,24.726,,,,
2389,02/01/24 08:00:00 午後,24.702,,,,
2390,02/01/24 09:00:00 午後,24.653,,,,
2391,02/01/24 10:00:00 午後,24.484,,,,
2392,02/01/24 11:00:00 午後,24.677,,,,
2393,02/02/24 12:00:00 午前,24.605,,,,
2394,02/02/24 01:00:00 午前,24.557,,,,
2395,02/02/24 02:00:00 午前,24.532,,,,
2396,02/02/24 03:00:00 午前,24.557,,,,
2397,02/02/24 04:00:00 午前,24.581,,,,
2398,02/02/24 05:00:00 午前,24.46,,,,
2399,02/02/24 06:00:00 午前,24.412,,,,
2400,02/02/24 07:00:00 午前,24.508,,,,
2401,02/02/24 08:00:00 午前,24.508,,,,
2402,02/02/24 09:00:00 午前,24.436,,,,
2403,02/02/24 10:00:00 午前,24.339,,,,
2404,02/02/24 11:00:00 午前,24.484,,,,
2405,02/02/24 12:00:00 午後,24.557,,,,
2406,02/02/24 01:00:00 午後,24.653,,,,
2407,02/02/24 02:00:00 午後,24.653,,,,
2408,02/02/24 03:00:00 午後,24.581,,,,
2409,02/02/24 04:00:00 午後,24.412,,,,
2410,02/02/24 05:00:00 午後,24.508,,,,
2411,02/02/24 06:00:00 午後,24.557,,,,
2412,02/02/24 07:00:00 午後,24.629,,,,
2413,02/02/24 08:00:00 午後,24.702,,,,
2414,02/02/24 09:00:00 午後,24.726,,,,
2415,02/02/24 10:00:00 午後,24.75,,,,
2416,02/02/24 11:00:00 午後,24.75,,,,
2417,02/03/24 12:00:00 午前,24.75,,,,
2418,02/03/24 01:00:00 午前,24.726,,,,
2419,02/03/24 02:00:00 午前,24.702,,,,
2420,02/03/24 03:00:00 午前,24.532,,,,
2421,02/03/24 04:00:00 午前,24.605,,,,
2422,02/03/24 05:00:00 午前,24.629,,,,
2423,02/03/24 06:00:00 午前,24.629,,,,
2424,02/03/24 07:00:00 午前,24.605,,,,
2425,02/03/24 08:00:00 午前,24.605,,,,
2426,02/03/24 09:00:00 午前,24.629,,,,
2427,02/03/24 10:00:00 午前,24.653,,,,
2428,02/03/24 11:00:00 午前,24.726,,,,
2429,02/03/24 12:00:00 午後,24.702,,,,
2430,02/03/24 01:00:00 午後,24.726,,,,
2431,02/03/24 02:00:00 午後,24.75,,,,
2432,02/03/24 03:00:00 午後,24.726,,,,
2433,02/03/24 04:00:00 午後,24.75,,,,
2434,02/03/24 05:00:00 午後,24.75,,,,
2435,02/03/24 06:00:00 午後,24.75,,,,
2436,02/03/24 07:00:00 午後,24.677,,,,
2437,02/03/24 08:00:00 午後,24.557,,,,
2438,02/03/24 09:00:00 午後,24.605,,,,
2439,02/03/24 10:00:00 午後,24.726,,,,
2440,02/03/24 11:00:00 午後,24.774,,,,
2441,02/04/24 12:00:00 午前,24.774,,,,
2442,02/04/24 01:00:00 午前,24.798,,,,
2443,02/04/24 02:00:00 午前,24.798,,,,
2444,02/04/24 03:00:00 午前,24.798,,,,
2445,02/04/24 04:00:00 午前,24.774,,,,
2446,02/04/24 05:00:00 午前,24.774,,,,
2447,02/04/24 06:00:00 午前,24.774,,,,
2448,02/04/24 07:00:00 午前,24.798,,,,
2449,02/04/24 08:00:00 午前,24.774,,,,
2450,02/04/24 09:00:00 午前,24.823,,,,
2451,02/04/24 10:00:00 午前,24.847,,,,
2452,02/04/24 11:00:00 午前,24.847,,,,
2453,02/04/24 12:00:00 午後,24.895,,,,
2454,02/04/24 01:00:00 午後,24.919,,,,
2455,02/04/24 02:00:00 午後,24.919,,,,
2456,02/04/24 03:00:00 午後,24.895,,,,
2457,02/04/24 04:00:00 午後,24.798,,,,
2458,02/04/24 05:00:00 午後,24.774,,,,
2459,02/04/24 06:00:00 午後,24.823,,,,
2460,02/04/24 07:00:00 午後,24.823,,,,
2461,02/04/24 08:00:00 午後,24.847,,,,
2462,02/04/24 09:00:00 午後,24.847,,,,
2463,02/04/24 10:00:00 午後,24.847,,,,
2464,02/04/24 11:00:00 午後,24.847,,,,
2465,02/05/24 12:00:00 午前,24.847,,,,
2466,02/05/24 01:00:00 午前,24.823,,,,
2467,02/05/24 02:00:00 午前,24.847,,,,
2468,02/05/24 03:00:00 午前,24.823,,,,
2469,02/05/24 04:00:00 午前,24.847,,,,
2470,02/05/24 05:00:00 午前,24.798,,,,
2471,02/05/24 06:00:00 午前,24.823,,,,
2472,02/05/24 07:00:00 午前,24.823,,,,
2473,02/05/24 08:00:00 午前,24.823,,,,
2474,02/05/24 09:00:00 午前,24.823,,,,
2475,02/05/24 10:00:00 午前,24.823,,,,
2476,02/05/24 11:00:00 午前,24.823,,,,
2477,02/05/24 12:00:00 午後,24.823,,,,
2478,02/05/24 01:00:00 午後,24.798,,,,
2479,02/05/24 02:00:00 午後,24.798,,,,
2480,02/05/24 03:00:00 午後,24.798,,,,
2481,02/05/24 04:00:00 午後,24.774,,,,
2482,02/05/24 05:00:00 午後,24.75,,,,
2483,02/05/24 06:00:00 午後,24.726,,,,
2484,02/05/24 07:00:00 午後,24.629,,,,
2485,02/05/24 08:00:00 午後,24.508,,,,
2486,02/05/24 09:00:00 午後,24.532,,,,
2487,02/05/24 10:00:00 午後,24.532,,,,
2488,02/05/24 11:00:00 午後,24.532,,,,
2489,02/06/24 12:00:00 午前,24.484,,,,
2490,02/06/24 01:00:00 午前,24.46,,,,
2491,02/06/24 02:00:00 午前,24.388,,,,
2492,02/06/24 03:00:00 午前,24.315,,,,
2493,02/06/24 04:00:00 午前,24.267,,,,
2494,02/06/24 05:00:00 午前,24.267,,,,
2495,02/06/24 06:00:00 午前,24.219,,,,
2496,02/06/24 07:00:00 午前,24.195,,,,
2497,02/06/24 08:00:00 午前,24.171,,,,
2498,02/06/24 09:00:00 午前,24.026,,,,
2499,02/06/24 10:00:00 午前,23.978,,,,
2500,02/06/24 11:00:00 午前,23.978,,,,
2501,02/06/24 12:00:00 午後,24.002,,,,
2502,02/06/24 01:00:00 午後,24.026,,,,
2503,02/06/24 02:00:00 午後,24.074,,,,
2504,02/06/24 03:00:00 午後,24.074,,,,
2505,02/06/24 04:00:00 午後,24.122,,,,
2506,02/06/24 05:00:00 午後,24.122,,,,
2507,02/06/24 06:00:00 午後,24.098,,,,
2508,02/06/24 07:00:00 午後,24.074,,,,
2509,02/06/24 08:00:00 午後,24.074,,,,
2510,02/06/24 09:00:00 午後,24.05,,,,
2511,02/06/24 10:00:00 午後,24.026,,,,
2512,02/06/24 11:00:00 午後,24.026,,,,
2513,02/07/24 12:00:00 午前,24.098,,,,
2514,02/07/24 01:00:00 午前,24.243,,,,
2515,02/07/24 02:00:00 午前,24.219,,,,
2516,02/07/24 03:00:00 午前,24.243,,,,
2517,02/07/24 04:00:00 午前,24.219,,,,
2518,02/07/24 05:00:00 午前,24.219,,,,
2519,02/07/24 06:00:00 午前,24.195,,,,
2520,02/07/24 07:00:00 午前,24.195,,,,
2521,02/07/24 08:00:00 午前,24.122,,,,
2522,02/07/24 09:00:00 午前,24.098,,,,
2523,02/07/24 10:00:00 午前,24.171,,,,
2524,02/07/24 11:00:00 午前,24.219,,,,
2525,02/07/24 12:00:00 午後,24.291,,,,
2526,02/07/24 01:00:00 午後,24.267,,,,
2527,02/07/24 02:00:00 午後,24.243,,,,
2528,02/07/24 03:00:00 午後,24.243,,,,
2529,02/07/24 04:00:00 午後,24.219,,,,
2530,02/07/24 05:00:00 午後,24.195,,,,
2531,02/07/24 06:00:00 午後,24.146,,,,
2532,02/07/24 07:00:00 午後,24.146,,,,
2533,02/07/24 08:00:00 午後,24.122,,,,
2534,02/07/24 09:00:00 午後,24.074,,,,
2535,02/07/24 10:00:00 午後,24.026,,,,
2536,02/07/24 11:00:00 午後,23.954,,,,
2537,02/08/24 12:00:00 午前,23.954,,,,
2538,02/08/24 01:00:00 午前,23.954,,,,
2539,02/08/24 02:00:00 午前,23.954,,,,
2540,02/08/24 03:00:00 午前,24.026,,,,
2541,02/08/24 04:00:00 午前,24.002,,,,
2542,02/08/24 05:00:00 午前,23.978,,,,
2543,02/08/24 06:00:00 午前,23.93,,,,
2544,02/08/24 07:00:00 午前,23.905,,,,
2545,02/08/24 08:00:00 午前,23.954,,,,
2546,02/08/24 09:00:00 午前,23.93,,,,
2547,02/08/24 10:00:00 午前,23.833,,,,
2548,02/08/24 11:00:00 午前,23.857,,,,
2549,02/08/24 12:00:00 午後,23.833,,,,
2550,02/08/24 01:00:00 午後,23.785,,,,
2551,02/08/24 02:00:00 午後,23.785,,,,
2552,02/08/24 03:00:00 午後,23.857,,,,
2553,02/08/24 04:00:00 午後,23.857,,,,
2554,02/08/24 05:00:00 午後,23.857,,,,
2555,02/08/24 06:00:00 午後,23.809,,,,
2556,02/08/24 07:00:00 午後,23.761,,,,
2557,02/08/24 08:00:00 午後,23.833,,,,
2558,02/08/24 09:00:00 午後,23.833,,,,
2559,02/08/24 10:00:00 午後,23.833,,,,
2560,02/08/24 11:00:00 午後,23.833,,,,
2561,02/09/24 12:00:00 午前,23.833,,,,
2562,02/09/24 01:00:00 午前,23.833,,,,
2563,02/09/24 02:00:00 午前,23.857,,,,
2564,02/09/24 03:00:00 午前,23.857,,,,
2565,02/09/24 04:00:00 午前,23.93,,,,
2566,02/09/24 05:00:00 午前,23.93,,,,
2567,02/09/24 06:00:00 午前,23.881,,,,
2568,02/09/24 07:00:00 午前,23.905,,,,
2569,02/09/24 08:00:00 午前,23.954,,,,
2570,02/09/24 09:00:00 午前,23.954,,,,
2571,02/09/24 10:00:00 午前,23.905,,,,
2572,02/09/24 11:00:00 午前,23.905,,,,
2573,02/09/24 12:00:00 午後,24.002,,,,
2574,02/09/24 01:00:00 午後,24.026,,,,
2575,02/09/24 02:00:00 午後,24.098,,,,
2576,02/09/24 03:00:00 午後,24.195,,,,
2577,02/09/24 04:00:00 午後,24.219,,,,
2578,02/09/24 05:00:00 午後,24.243,,,,
2579,02/09/24 06:00:00 午後,24.219,,,,
2580,02/09/24 07:00:00 午後,24.146,,,,
2581,02/09/24 08:00:00 午後,24.122,,,,
2582,02/09/24 09:00:00 午後,24.074,,,,
2583,02/09/24 10:00:00 午後,24.026,,,,
2584,02/09/24 11:00:00 午後,24.026,,,,
2585,02/10/24 12:00:00 午前,24.026,,,,
2586,02/10/24 01:00:00 午前,24.026,,,,
2587,02/10/24 02:00:00 午前,24.002,,,,
2588,02/10/24 03:00:00 午前,24.002,,,,
2589,02/10/24 04:00:00 午前,23.954,,,,
2590,02/10/24 05:00:00 午前,23.954,,,,
2591,02/10/24 06:00:00 午前,23.954,,,,
2592,02/10/24 07:00:00 午前,23.93,,,,
2593,02/10/24 08:00:00 午前,23.954,,,,
2594,02/10/24 09:00:00 午前,23.93,,,,
2595,02/10/24 10:00:00 午前,23.93,,,,
2596,02/10/24 11:00:00 午前,23.761,,,,
2597,02/10/24 12:00:00 午後,23.737,,,,
2598,02/10/24 01:00:00 午後,23.713,,,,
2599,02/10/24 02:00:00 午後,24.074,,,,
2600,02/10/24 03:00:00 午後,24.098,,,,
2601,02/10/24 04:00:00 午後,24.098,,,,
2602,02/10/24 05:00:00 午後,24.05,,,,
2603,02/10/24 06:00:00 午後,24.074,,,,
2604,02/10/24 07:00:00 午後,24.002,,,,
2605,02/10/24 08:00:00 午後,23.978,,,,
2606,02/10/24 09:00:00 午後,23.905,,,,
2607,02/10/24 10:00:00 午後,23.93,,,,
2608,02/10/24 11:00:00 午後,23.954,,,,
2609,02/11/24 12:00:00 午前,23.905,,,,
2610,02/11/24 01:00:00 午前,23.881,,,,
2611,02/11/24 02:00:00 午前,23.881,,,,
2612,02/11/24 03:00:00 午前,23.857,,,,
2613,02/11/24 04:00:00 午前,23.833,,,,
2614,02/11/24 05:00:00 午前,23.833,,,,
2615,02/11/24 06:00:00 午前,23.954,,,,
2616,02/11/24 07:00:00 午前,23.881,,,,
2617,02/11/24 08:00:00 午前,23.857,,,,
2618,02/11/24 09:00:00 午前,23.93,,,,
2619,02/11/24 10:00:00 午前,23.954,,,,
2620,02/11/24 11:00:00 午前,23.978,,,,
2621,02/11/24 12:00:00 午後,23.809,,,,
2622,02/11/24 01:00:00 午後,23.881,,,,
2623,02/11/24 02:00:00 午後,23.857,,,,
2624,02/11/24 03:00:00 午後,24.026,,,,
2625,02/11/24 04:00:00 午後,24.074,,,,
2626,02/11/24 05:00:00 午後,24.002,,,,
2627,02/11/24 06:00:00 午後,23.954,,,,
2628,02/11/24 07:00:00 午後,23.857,,,,
2629,02/11/24 08:00:00 午後,23.521,,,,
2630,02/11/24 09:00:00 午後,23.472,,,,
2631,02/11/24 10:00:00 午後,23.545,,,,
2632,02/11/24 11:00:00 午後,23.545,,,,
2633,02/12/24 12:00:00 午前,23.593,,,,
2634,02/12/24 01:00:00 午前,23.761,,,,
2635,02/12/24 02:00:00 午前,23.761,,,,
2636,02/12/24 03:00:00 午前,23.785,,,,
2637,02/12/24 04:00:00 午前,23.785,,,,
2638,02/12/24 05:00:00 午前,23.785,,,,
2639,02/12/24 06:00:00 午前,23.809,,,,
2640,02/12/24 07:00:00 午前,23.713,,,,
2641,02/12/24 08:00:00 午前,23.521,,,,
2642,02/12/24 09:00:00 午前,23.833,,,,
2643,02/12/24 10:00:00 午前,23.857,,,,
2644,02/12/24 11:00:00 午前,23.857,,,,
2645,02/12/24 12:00:00 午後,23.737,,,,
2646,02/12/24 01:00:00 午後,23.641,,,,
2647,02/12/24 02:00:00 午後,23.905,,,,
2648,02/12/24 03:00:00 午後,24.05,,,,
2649,02/12/24 04:00:00 午後,24.074,,,,
2650,02/12/24 05:00:00 午後,24.074,,,,
2651,02/12/24 06:00:00 午後,24.05,,,,
2652,02/12/24 07:00:00 午後,23.978,,,,
2653,02/12/24 08:00:00 午後,23.785,,,,
2654,02/12/24 09:00:00 午後,23.641,,,,
2655,02/12/24 10:00:00 午後,23.617,,,,
2656,02/12/24 11:00:00 午後,23.641,,,,
2657,02/13/24 12:00:00 午前,23.641,,,,
2658,02/13/24 01:00:00 午前,23.881,,,,
2659,02/13/24 02:00:00 午前,23.905,,,,
2660,02/13/24 03:00:00 午前,23.905,,,,
2661,02/13/24 04:00:00 午前,23.905,,,,
2662,02/13/24 05:00:00 午前,23.905,,,,
2663,02/13/24 06:00:00 午前,23.881,,,,
2664,02/13/24 07:00:00 午前,23.93,,,,
2665,02/13/24 08:00:00 午前,22.633,,,,
2666,02/13/24 09:00:00 午前,22.489,,,,
2667,02/13/24 10:00:00 午前,23.064,,,,
2668,02/13/24 11:00:00 午前,23.857,,,,
2669,02/13/24 12:00:00 午後,24.146,,,,
2670,02/13/24 01:00:00 午後,24.122,,,,
2671,02/13/24 02:00:00 午後,24.098,,,,
2672,02/13/24 03:00:00 午後,24.074,,,,
2673,02/13/24 04:00:00 午後,24.026,,,,
2674,02/13/24 05:00:00 午後,24.05,,,,
2675,02/13/24 06:00:00 午後,24.074,,,,
2676,02/13/24 07:00:00 午後,24.098,,,,
2677,02/13/24 08:00:00 午後,23.785,,,,
2678,02/13/24 09:00:00 午後,23.857,,,,
2679,02/13/24 10:00:00 午後,23.954,,,,
2680,02/13/24 11:00:00 午後,23.857,,,,
2681,02/14/24 12:00:00 午前,23.978,,,,
2682,02/14/24 01:00:00 午前,23.954,,,,
2683,02/14/24 02:00:00 午前,23.978,,,,
2684,02/14/24 03:00:00 午前,23.93,,,,
2685,02/14/24 04:00:00 午前,23.761,,,,
2686,02/14/24 05:00:00 午前,23.689,,,,
2687,02/14/24 06:00:00 午前,23.978,,,,
2688,02/14/24 07:00:00 午前,24.002,,,,
2689,02/14/24 08:00:00 午前,23.978,,,,
2690,02/14/24 09:00:00 午前,23.16,,,,
2691,02/14/24 10:00:00 午前,23.448,,,,
2692,02/14/24 11:00:00 午前,24.002,,,,
2693,02/14/24 12:00:00 午後,24.026,,,,
2694,02/14/24 01:00:00 午後,24.074,,,,
2695,02/14/24 02:00:00 午後,24.098,,,,
2696,02/14/24 03:00:00 午後,24.219,,,,
2697,02/14/24 04:00:00 午後,24.195,,,,
2698,02/14/24 05:00:00 午後,24.267,,,,
2699,02/14/24 06:00:00 午後,24.243,,,,
2700,02/14/24 07:00:00 午後,24.074,,,,
2701,02/14/24 08:00:00 午後,24.074,,,,
2702,02/14/24 09:00:00 午後,24.171,,,,
2703,02/14/24 10:00:00 午後,24.098,,,,
2704,02/14/24 11:00:00 午後,24.098,,,,
