"プロット タイトル: 20054346_St56_20191209-"
"#","日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054346, SEN S/N: 20054346)","カプラー取り外し (LGR S/N: 20054346)","カプラー取り付け (LGR S/N: 20054346)","ホスト接続 (LGR S/N: 20054346)","停止済み (LGR S/N: 20054346)","ファイルの終わり (LGR S/N: 20054346)"
13876,09/23/20 12:30:00 午後,30.041,,,,,
13877,09/23/20 01:00:00 午後,30.142,,,,,
13878,09/23/20 01:30:00 午後,30.243,,,,,
13879,09/23/20 02:00:00 午後,30.318,,,,,
13880,09/23/20 02:30:00 午後,30.419,,,,,
13881,09/23/20 03:00:00 午後,30.545,,,,,
13882,09/23/20 03:30:00 午後,30.571,,,,,
13883,09/23/20 04:00:00 午後,30.621,,,,,
13884,09/23/20 04:30:00 午後,30.419,,,,,
13885,09/23/20 05:00:00 午後,30.217,,,,,
13886,09/23/20 05:30:00 午後,29.941,,,,,
13887,09/23/20 06:00:00 午後,29.765,,,,,
13888,09/23/20 06:30:00 午後,29.615,,,,,
13889,09/23/20 07:00:00 午後,29.490,,,,,
13890,09/23/20 07:30:00 午後,29.414,,,,,
13891,09/23/20 08:00:00 午後,29.340,,,,,
13892,09/23/20 08:30:00 午後,29.315,,,,,
13893,09/23/20 09:00:00 午後,29.290,,,,,
13894,09/23/20 09:30:00 午後,29.265,,,,,
13895,09/23/20 10:00:00 午後,29.265,,,,,
13896,09/23/20 10:30:00 午後,29.265,,,,,
13897,09/23/20 11:00:00 午後,29.215,,,,,
13898,09/23/20 11:30:00 午後,29.215,,,,,
13899,09/24/20 12:00:00 午前,29.190,,,,,
13900,09/24/20 12:30:00 午前,29.165,,,,,
13901,09/24/20 01:00:00 午前,29.115,,,,,
13902,09/24/20 01:30:00 午前,29.065,,,,,
13903,09/24/20 02:00:00 午前,29.015,,,,,
13904,09/24/20 02:30:00 午前,28.965,,,,,
13905,09/24/20 03:00:00 午前,28.916,,,,,
13906,09/24/20 03:30:00 午前,28.866,,,,,
13907,09/24/20 04:00:00 午前,28.816,,,,,
13908,09/24/20 04:30:00 午前,28.766,,,,,
13909,09/24/20 05:00:00 午前,28.816,,,,,
13910,09/24/20 05:30:00 午前,28.841,,,,,
13911,09/24/20 06:00:00 午前,28.841,,,,,
13912,09/24/20 06:30:00 午前,28.866,,,,,
13913,09/24/20 07:00:00 午前,28.866,,,,,
13914,09/24/20 07:30:00 午前,28.891,,,,,
13915,09/24/20 08:00:00 午前,28.916,,,,,
13916,09/24/20 08:30:00 午前,28.916,,,,,
13917,09/24/20 09:00:00 午前,28.990,,,,,
13918,09/24/20 09:30:00 午前,29.040,,,,,
13919,09/24/20 10:00:00 午前,29.190,,,,,
13920,09/24/20 10:30:00 午前,29.515,,,,,
13921,09/24/20 11:00:00 午前,29.565,,,,,
13922,09/24/20 11:30:00 午前,29.490,,,,,
13923,09/24/20 12:00:00 午後,29.565,,,,,
13924,09/24/20 12:30:00 午後,29.665,,,,,
13925,09/24/20 01:00:00 午後,29.740,,,,,
13926,09/24/20 01:30:00 午後,29.590,,,,,
13927,09/24/20 02:00:00 午後,29.590,,,,,
13928,09/24/20 02:30:00 午後,29.690,,,,,
13929,09/24/20 03:00:00 午後,29.715,,,,,
13930,09/24/20 03:30:00 午後,29.615,,,,,
13931,09/24/20 04:00:00 午後,29.490,,,,,
13932,09/24/20 04:30:00 午後,29.414,,,,,
13933,09/24/20 05:00:00 午後,29.340,,,,,
13934,09/24/20 05:30:00 午後,29.315,,,,,
13935,09/24/20 06:00:00 午後,29.290,,,,,
13936,09/24/20 06:30:00 午後,29.265,,,,,
13937,09/24/20 07:00:00 午後,29.265,,,,,
13938,09/24/20 07:30:00 午後,29.215,,,,,
13939,09/24/20 08:00:00 午後,29.215,,,,,
13940,09/24/20 08:30:00 午後,29.215,,,,,
13941,09/24/20 09:00:00 午後,29.215,,,,,
13942,09/24/20 09:30:00 午後,29.240,,,,,
13943,09/24/20 10:00:00 午後,29.190,,,,,
13944,09/24/20 10:30:00 午後,29.190,,,,,
13945,09/24/20 11:00:00 午後,29.190,,,,,
13946,09/24/20 11:30:00 午後,29.190,,,,,
13947,09/25/20 12:00:00 午前,29.165,,,,,
13948,09/25/20 12:30:00 午前,29.140,,,,,
13949,09/25/20 01:00:00 午前,29.140,,,,,
13950,09/25/20 01:30:00 午前,29.115,,,,,
13951,09/25/20 02:00:00 午前,29.115,,,,,
13952,09/25/20 02:30:00 午前,29.090,,,,,
13953,09/25/20 03:00:00 午前,29.090,,,,,
13954,09/25/20 03:30:00 午前,29.065,,,,,
13955,09/25/20 04:00:00 午前,29.015,,,,,
13956,09/25/20 04:30:00 午前,28.990,,,,,
13957,09/25/20 05:00:00 午前,28.965,,,,,
13958,09/25/20 05:30:00 午前,28.916,,,,,
13959,09/25/20 06:00:00 午前,28.866,,,,,
13960,09/25/20 06:30:00 午前,28.841,,,,,
13961,09/25/20 07:00:00 午前,28.816,,,,,
13962,09/25/20 07:30:00 午前,28.816,,,,,
13963,09/25/20 08:00:00 午前,28.866,,,,,
13964,09/25/20 08:30:00 午前,28.916,,,,,
13965,09/25/20 09:00:00 午前,28.941,,,,,
13966,09/25/20 09:30:00 午前,29.040,,,,,
13967,09/25/20 10:00:00 午前,29.240,,,,,
13968,09/25/20 10:30:00 午前,29.315,,,,,
13969,09/25/20 11:00:00 午前,29.464,,,,,
13970,09/25/20 11:30:00 午前,29.615,,,,,
13971,09/25/20 12:00:00 午後,29.565,,,,,
13972,09/25/20 12:30:00 午後,29.515,,,,,
13973,09/25/20 01:00:00 午後,29.439,,,,,
13974,09/25/20 01:30:00 午後,29.414,,,,,
13975,09/25/20 02:00:00 午後,29.315,,,,,
13976,09/25/20 02:30:00 午後,29.215,,,,,
13977,09/25/20 03:00:00 午後,29.165,,,,,
13978,09/25/20 03:30:00 午後,29.140,,,,,
13979,09/25/20 04:00:00 午後,29.165,,,,,
13980,09/25/20 04:30:00 午後,29.190,,,,,
13981,09/25/20 05:00:00 午後,29.165,,,,,
13982,09/25/20 05:30:00 午後,29.115,,,,,
13983,09/25/20 06:00:00 午後,29.065,,,,,
13984,09/25/20 06:30:00 午後,29.040,,,,,
13985,09/25/20 07:00:00 午後,29.015,,,,,
13986,09/25/20 07:30:00 午後,28.990,,,,,
13987,09/25/20 08:00:00 午後,28.965,,,,,
13988,09/25/20 08:30:00 午後,28.941,,,,,
13989,09/25/20 09:00:00 午後,28.941,,,,,
13990,09/25/20 09:30:00 午後,28.965,,,,,
13991,09/25/20 10:00:00 午後,28.965,,,,,
13992,09/25/20 10:30:00 午後,28.941,,,,,
13993,09/25/20 11:00:00 午後,28.941,,,,,
13994,09/25/20 11:30:00 午後,28.916,,,,,
13995,09/26/20 12:00:00 午前,28.916,,,,,
13996,09/26/20 12:30:00 午前,28.916,,,,,
13997,09/26/20 01:00:00 午前,28.891,,,,,
13998,09/26/20 01:30:00 午前,28.891,,,,,
13999,09/26/20 02:00:00 午前,28.891,,,,,
14000,09/26/20 02:30:00 午前,28.866,,,,,
14001,09/26/20 03:00:00 午前,28.916,,,,,
14002,09/26/20 03:30:00 午前,28.891,,,,,
14003,09/26/20 04:00:00 午前,28.866,,,,,
14004,09/26/20 04:30:00 午前,28.866,,,,,
14005,09/26/20 05:00:00 午前,28.866,,,,,
14006,09/26/20 05:30:00 午前,28.866,,,,,
14007,09/26/20 06:00:00 午前,28.841,,,,,
14008,09/26/20 06:30:00 午前,28.816,,,,,
14009,09/26/20 07:00:00 午前,28.816,,,,,
14010,09/26/20 07:30:00 午前,28.816,,,,,
14011,09/26/20 08:00:00 午前,28.816,,,,,
14012,09/26/20 08:30:00 午前,28.791,,,,,
14013,09/26/20 09:00:00 午前,28.866,,,,,
14014,09/26/20 09:30:00 午前,28.916,,,,,
14015,09/26/20 10:00:00 午前,28.990,,,,,
14016,09/26/20 10:30:00 午前,29.015,,,,,
14017,09/26/20 11:00:00 午前,29.065,,,,,
14018,09/26/20 11:30:00 午前,29.115,,,,,
14019,09/26/20 12:00:00 午後,29.215,,,,,
14020,09/26/20 12:30:00 午後,29.340,,,,,
14021,09/26/20 01:00:00 午後,29.290,,,,,
14022,09/26/20 01:30:00 午後,29.215,,,,,
14023,09/26/20 02:00:00 午後,29.215,,,,,
14024,09/26/20 02:30:00 午後,29.215,,,,,
14025,09/26/20 03:00:00 午後,29.190,,,,,
14026,09/26/20 03:30:00 午後,29.165,,,,,
14027,09/26/20 04:00:00 午後,29.115,,,,,
14028,09/26/20 04:30:00 午後,29.065,,,,,
14029,09/26/20 05:00:00 午後,28.990,,,,,
14030,09/26/20 05:30:00 午後,28.916,,,,,
14031,09/26/20 06:00:00 午後,28.891,,,,,
14032,09/26/20 06:30:00 午後,28.841,,,,,
14033,09/26/20 07:00:00 午後,28.816,,,,,
14034,09/26/20 07:30:00 午後,28.791,,,,,
14035,09/26/20 08:00:00 午後,28.766,,,,,
14036,09/26/20 08:30:00 午後,28.766,,,,,
14037,09/26/20 09:00:00 午後,28.791,,,,,
14038,09/26/20 09:30:00 午後,28.791,,,,,
14039,09/26/20 10:00:00 午後,28.766,,,,,
14040,09/26/20 10:30:00 午後,28.766,,,,,
14041,09/26/20 11:00:00 午後,28.791,,,,,
14042,09/26/20 11:30:00 午後,28.742,,,,,
14043,09/27/20 12:00:00 午前,28.766,,,,,
14044,09/27/20 12:30:00 午前,28.742,,,,,
14045,09/27/20 01:00:00 午前,28.717,,,,,
14046,09/27/20 01:30:00 午前,28.742,,,,,
14047,09/27/20 02:00:00 午前,28.742,,,,,
14048,09/27/20 02:30:00 午前,28.742,,,,,
14049,09/27/20 03:00:00 午前,28.742,,,,,
14050,09/27/20 03:30:00 午前,28.717,,,,,
14051,09/27/20 04:00:00 午前,28.717,,,,,
14052,09/27/20 04:30:00 午前,28.717,,,,,
14053,09/27/20 05:00:00 午前,28.717,,,,,
14054,09/27/20 05:30:00 午前,28.717,,,,,
14055,09/27/20 06:00:00 午前,28.717,,,,,
14056,09/27/20 06:30:00 午前,28.717,,,,,
14057,09/27/20 07:00:00 午前,28.667,,,,,
14058,09/27/20 07:30:00 午前,28.642,,,,,
14059,09/27/20 08:00:00 午前,28.617,,,,,
14060,09/27/20 08:30:00 午前,28.617,,,,,
14061,09/27/20 09:00:00 午前,28.568,,,,,
14062,09/27/20 09:30:00 午前,28.493,,,,,
14063,09/27/20 10:00:00 午前,28.493,,,,,
14064,09/27/20 10:30:00 午前,28.493,,,,,
14065,09/27/20 11:00:00 午前,28.493,,,,,
14066,09/27/20 11:30:00 午前,28.493,,,,,
14067,09/27/20 12:00:00 午後,28.543,,,,,
14068,09/27/20 12:30:00 午後,28.667,,,,,
14069,09/27/20 01:00:00 午後,28.642,,,,,
14070,09/27/20 01:30:00 午後,28.617,,,,,
14071,09/27/20 02:00:00 午後,28.667,,,,,
14072,09/27/20 02:30:00 午後,28.667,,,,,
14073,09/27/20 03:00:00 午後,28.667,,,,,
14074,09/27/20 03:30:00 午後,28.642,,,,,
14075,09/27/20 04:00:00 午後,28.642,,,,,
14076,09/27/20 04:30:00 午後,28.642,,,,,
14077,09/27/20 05:00:00 午後,28.642,,,,,
14078,09/27/20 05:30:00 午後,28.617,,,,,
14079,09/27/20 06:00:00 午後,28.617,,,,,
14080,09/27/20 06:30:00 午後,28.593,,,,,
14081,09/27/20 07:00:00 午後,28.568,,,,,
14082,09/27/20 07:30:00 午後,28.543,,,,,
14083,09/27/20 08:00:00 午後,28.593,,,,,
14084,09/27/20 08:30:00 午後,28.568,,,,,
14085,09/27/20 09:00:00 午後,28.543,,,,,
14086,09/27/20 09:30:00 午後,28.543,,,,,
14087,09/27/20 10:00:00 午後,28.518,,,,,
14088,09/27/20 10:30:00 午後,28.493,,,,,
14089,09/27/20 11:00:00 午後,28.419,,,,,
14090,09/27/20 11:30:00 午後,28.444,,,,,
14091,09/28/20 12:00:00 午前,28.444,,,,,
14092,09/28/20 12:30:00 午前,28.444,,,,,
14093,09/28/20 01:00:00 午前,28.468,,,,,
14094,09/28/20 01:30:00 午前,28.468,,,,,
14095,09/28/20 02:00:00 午前,28.493,,,,,
14096,09/28/20 02:30:00 午前,28.518,,,,,
14097,09/28/20 03:00:00 午前,28.568,,,,,
14098,09/28/20 03:30:00 午前,28.568,,,,,
14099,09/28/20 04:00:00 午前,28.568,,,,,
14100,09/28/20 04:30:00 午前,28.568,,,,,
14101,09/28/20 05:00:00 午前,28.568,,,,,
14102,09/28/20 05:30:00 午前,28.568,,,,,
14103,09/28/20 06:00:00 午前,28.568,,,,,
14104,09/28/20 06:30:00 午前,28.568,,,,,
14105,09/28/20 07:00:00 午前,28.518,,,,,
14106,09/28/20 07:30:00 午前,28.518,,,,,
14107,09/28/20 08:00:00 午前,28.468,,,,,
14108,09/28/20 08:30:00 午前,28.444,,,,,
14109,09/28/20 09:00:00 午前,28.444,,,,,
14110,09/28/20 09:30:00 午前,28.543,,,,,
14111,09/28/20 10:00:00 午前,28.568,,,,,
14112,09/28/20 10:30:00 午前,28.642,,,,,
14113,09/28/20 11:00:00 午前,28.642,,,,,
14114,09/28/20 11:30:00 午前,28.667,,,,,
14115,09/28/20 12:00:00 午後,28.543,,,,,
14116,09/28/20 12:30:00 午後,28.369,,,,,
14117,09/28/20 01:00:00 午後,28.270,,,,,
14118,09/28/20 01:30:00 午後,28.394,,,,,
14119,09/28/20 02:00:00 午後,28.468,,,,,
14120,09/28/20 02:30:00 午後,28.369,,,,,
14121,09/28/20 03:00:00 午後,28.369,,,,,
14122,09/28/20 03:30:00 午後,28.394,,,,,
14123,09/28/20 04:00:00 午後,28.518,,,,,
14124,09/28/20 04:30:00 午後,28.667,,,,,
14125,09/28/20 05:00:00 午後,28.692,,,,,
14126,09/28/20 05:30:00 午後,28.667,,,,,
14127,09/28/20 06:00:00 午後,28.692,,,,,
14128,09/28/20 06:30:00 午後,28.692,,,,,
14129,09/28/20 07:00:00 午後,28.667,,,,,
14130,09/28/20 07:30:00 午後,28.667,,,,,
14131,09/28/20 08:00:00 午後,28.692,,,,,
14132,09/28/20 08:30:00 午後,28.692,,,,,
14133,09/28/20 09:00:00 午後,28.692,,,,,
14134,09/28/20 09:30:00 午後,28.692,,,,,
14135,09/28/20 10:00:00 午後,28.742,,,,,
14136,09/28/20 10:30:00 午後,28.766,,,,,
14137,09/28/20 11:00:00 午後,28.766,,,,,
14138,09/28/20 11:30:00 午後,28.766,,,,,
14139,09/29/20 12:00:00 午前,28.766,,,,,
14140,09/29/20 12:30:00 午前,28.742,,,,,
14141,09/29/20 01:00:00 午前,28.742,,,,,
14142,09/29/20 01:30:00 午前,28.692,,,,,
14143,09/29/20 02:00:00 午前,28.692,,,,,
14144,09/29/20 02:30:00 午前,28.717,,,,,
14145,09/29/20 03:00:00 午前,28.717,,,,,
14146,09/29/20 03:30:00 午前,28.742,,,,,
14147,09/29/20 04:00:00 午前,28.766,,,,,
14148,09/29/20 04:30:00 午前,28.791,,,,,
14149,09/29/20 05:00:00 午前,28.791,,,,,
14150,09/29/20 05:30:00 午前,28.791,,,,,
14151,09/29/20 06:00:00 午前,28.791,,,,,
14152,09/29/20 06:30:00 午前,28.766,,,,,
14153,09/29/20 07:00:00 午前,28.742,,,,,
14154,09/29/20 07:30:00 午前,28.717,,,,,
14155,09/29/20 08:00:00 午前,28.692,,,,,
14156,09/29/20 08:30:00 午前,28.717,,,,,
14157,09/29/20 09:00:00 午前,28.717,,,,,
14158,09/29/20 09:30:00 午前,28.791,,,,,
14159,09/29/20 10:00:00 午前,28.816,,,,,
14160,09/29/20 10:30:00 午前,28.916,,,,,
14161,09/29/20 11:00:00 午前,29.140,,,,,
14162,09/29/20 11:30:00 午前,29.515,,,,,
14163,09/29/20 12:00:00 午後,29.865,,,,,
14164,09/29/20 12:30:00 午後,30.091,,,,,
14165,09/29/20 01:00:00 午後,30.091,,,,,
14166,09/29/20 01:30:00 午後,30.041,,,,,
14167,09/29/20 02:00:00 午後,29.890,,,,,
14168,09/29/20 02:30:00 午後,29.715,,,,,
14169,09/29/20 03:00:00 午後,29.490,,,,,
14170,09/29/20 03:30:00 午後,29.340,,,,,
14171,09/29/20 04:00:00 午後,29.240,,,,,
14172,09/29/20 04:30:00 午後,29.190,,,,,
14173,09/29/20 05:00:00 午後,29.165,,,,,
14174,09/29/20 05:30:00 午後,29.115,,,,,
14175,09/29/20 06:00:00 午後,29.040,,,,,
14176,09/29/20 06:30:00 午後,28.965,,,,,
14177,09/29/20 07:00:00 午後,28.891,,,,,
14178,09/29/20 07:30:00 午後,28.841,,,,,
14179,09/29/20 08:00:00 午後,28.816,,,,,
14180,09/29/20 08:30:00 午後,28.742,,,,,
14181,09/29/20 09:00:00 午後,28.692,,,,,
14182,09/29/20 09:30:00 午後,28.617,,,,,
14183,09/29/20 10:00:00 午後,28.493,,,,,
14184,09/29/20 10:30:00 午後,28.444,,,,,
14185,09/29/20 11:00:00 午後,28.369,,,,,
14186,09/29/20 11:30:00 午後,28.320,,,,,
14187,09/30/20 12:00:00 午前,28.345,,,,,
14188,09/30/20 12:30:00 午前,28.369,,,,,
14189,09/30/20 01:00:00 午前,28.320,,,,,
14190,09/30/20 01:30:00 午前,28.419,,,,,
14191,09/30/20 02:00:00 午前,28.543,,,,,
14192,09/30/20 02:30:00 午前,28.617,,,,,
14193,09/30/20 03:00:00 午前,28.642,,,,,
14194,09/30/20 03:30:00 午前,28.617,,,,,
14195,09/30/20 04:00:00 午前,28.642,,,,,
14196,09/30/20 04:30:00 午前,28.642,,,,,
14197,09/30/20 05:00:00 午前,28.642,,,,,
14198,09/30/20 05:30:00 午前,28.617,,,,,
14199,09/30/20 06:00:00 午前,28.568,,,,,
14200,09/30/20 06:30:00 午前,28.518,,,,,
14201,09/30/20 07:00:00 午前,28.493,,,,,
14202,09/30/20 07:30:00 午前,28.394,,,,,
14203,09/30/20 08:00:00 午前,28.320,,,,,
14204,09/30/20 08:30:00 午前,28.295,,,,,
14205,09/30/20 09:00:00 午前,28.270,,,,,
14206,09/30/20 09:30:00 午前,28.345,,,,,
14207,09/30/20 10:00:00 午前,28.468,,,,,
14208,09/30/20 10:30:00 午前,28.642,,,,,
14209,09/30/20 11:00:00 午前,28.791,,,,,
14210,09/30/20 11:30:00 午前,28.816,,,,,
14211,09/30/20 12:00:00 午後,28.891,,,,,
14212,09/30/20 12:30:00 午後,28.841,,,,,
14213,09/30/20 01:00:00 午後,29.015,,,,,
14214,09/30/20 01:30:00 午後,28.941,,,,,
14215,09/30/20 02:00:00 午後,28.766,,,,,
14216,09/30/20 02:30:00 午後,28.742,,,,,
14217,09/30/20 03:00:00 午後,28.667,,,,,
14218,09/30/20 03:30:00 午後,28.667,,,,,
14219,09/30/20 04:00:00 午後,28.617,,,,,
14220,09/30/20 04:30:00 午後,28.543,,,,,
14221,09/30/20 05:00:00 午後,28.568,,,,,
14222,09/30/20 05:30:00 午後,28.593,,,,,
14223,09/30/20 06:00:00 午後,28.593,,,,,
14224,09/30/20 06:30:00 午後,28.568,,,,,
14225,09/30/20 07:00:00 午後,28.543,,,,,
14226,09/30/20 07:30:00 午後,28.518,,,,,
14227,09/30/20 08:00:00 午後,28.543,,,,,
14228,09/30/20 08:30:00 午後,28.493,,,,,
14229,09/30/20 09:00:00 午後,28.518,,,,,
14230,09/30/20 09:30:00 午後,28.444,,,,,
14231,09/30/20 10:00:00 午後,28.369,,,,,
14232,09/30/20 10:30:00 午後,28.345,,,,,
14233,09/30/20 11:00:00 午後,28.295,,,,,
14234,09/30/20 11:30:00 午後,28.245,,,,,
14235,10/01/20 12:00:00 午前,28.171,,,,,
14236,10/01/20 12:30:00 午前,28.122,,,,,
14237,10/01/20 01:00:00 午前,28.122,,,,,
14238,10/01/20 01:30:00 午前,28.245,,,,,
14239,10/01/20 02:00:00 午前,28.270,,,,,
14240,10/01/20 02:30:00 午前,28.295,,,,,
14241,10/01/20 03:00:00 午前,28.295,,,,,
14242,10/01/20 03:30:00 午前,28.345,,,,,
14243,10/01/20 04:00:00 午前,28.369,,,,,
14244,10/01/20 04:30:00 午前,28.369,,,,,
14245,10/01/20 05:00:00 午前,28.419,,,,,
14246,10/01/20 05:30:00 午前,28.394,,,,,
14247,10/01/20 06:00:00 午前,28.444,,,,,
14248,10/01/20 06:30:00 午前,28.468,,,,,
14249,10/01/20 07:00:00 午前,28.419,,,,,
14250,10/01/20 07:30:00 午前,28.493,,,,,
14251,10/01/20 08:00:00 午前,28.468,,,,,
14252,10/01/20 08:30:00 午前,28.444,,,,,
14253,10/01/20 09:00:00 午前,28.444,,,,,
14254,10/01/20 09:30:00 午前,28.493,,,,,
14255,10/01/20 10:00:00 午前,28.642,,,,,
14256,10/01/20 10:30:00 午前,28.791,,,,,
14257,10/01/20 11:00:00 午前,28.841,,,,,
14258,10/01/20 11:30:00 午前,28.717,,,,,
14259,10/01/20 12:00:00 午後,28.568,,,,,
14260,10/01/20 12:30:00 午後,28.617,,,,,
14261,10/01/20 01:00:00 午後,28.791,,,,,
14262,10/01/20 01:30:00 午後,28.891,,,,,
14263,10/01/20 02:00:00 午後,28.965,,,,,
14264,10/01/20 02:30:00 午後,29.065,,,,,
14265,10/01/20 03:00:00 午後,28.941,,,,,
14266,10/01/20 03:30:00 午後,28.941,,,,,
14267,10/01/20 04:00:00 午後,28.841,,,,,
14268,10/01/20 04:30:00 午後,28.742,,,,,
14269,10/01/20 05:00:00 午後,28.692,,,,,
14270,10/01/20 05:30:00 午後,28.617,,,,,
14271,10/01/20 06:00:00 午後,28.568,,,,,
14272,10/01/20 06:30:00 午後,28.518,,,,,
14273,10/01/20 07:00:00 午後,28.518,,,,,
14274,10/01/20 07:30:00 午後,28.468,,,,,
14275,10/01/20 08:00:00 午後,28.444,,,,,
14276,10/01/20 08:30:00 午後,28.444,,,,,
14277,10/01/20 09:00:00 午後,28.419,,,,,
14278,10/01/20 09:30:00 午後,28.419,,,,,
14279,10/01/20 10:00:00 午後,28.394,,,,,
14280,10/01/20 10:30:00 午後,28.369,,,,,
14281,10/01/20 11:00:00 午後,28.369,,,,,
14282,10/01/20 11:30:00 午後,28.369,,,,,
14283,10/02/20 12:00:00 午前,28.345,,,,,
14284,10/02/20 12:30:00 午前,28.345,,,,,
14285,10/02/20 01:00:00 午前,28.320,,,,,
14286,10/02/20 01:30:00 午前,28.270,,,,,
14287,10/02/20 02:00:00 午前,28.270,,,,,
14288,10/02/20 02:30:00 午前,28.270,,,,,
14289,10/02/20 03:00:00 午前,28.270,,,,,
14290,10/02/20 03:30:00 午前,28.295,,,,,
14291,10/02/20 04:00:00 午前,28.369,,,,,
14292,10/02/20 04:30:00 午前,28.345,,,,,
14293,10/02/20 05:00:00 午前,28.369,,,,,
14294,10/02/20 05:30:00 午前,28.345,,,,,
14295,10/02/20 06:00:00 午前,28.345,,,,,
14296,10/02/20 06:30:00 午前,28.369,,,,,
14297,10/02/20 07:00:00 午前,28.345,,,,,
14298,10/02/20 07:30:00 午前,28.369,,,,,
14299,10/02/20 08:00:00 午前,28.369,,,,,
14300,10/02/20 08:30:00 午前,28.394,,,,,
14301,10/02/20 09:00:00 午前,28.444,,,,,
14302,10/02/20 09:30:00 午前,28.493,,,,,
14303,10/02/20 10:00:00 午前,28.692,,,,,
14304,10/02/20 10:30:00 午前,28.866,,,,,
14305,10/02/20 11:00:00 午前,29.015,,,,,
14306,10/02/20 11:30:00 午前,29.215,,,,,
14307,10/02/20 12:00:00 午後,29.515,,,,,
14308,10/02/20 12:30:00 午後,29.815,,,,,
14309,10/02/20 01:00:00 午後,29.865,,,,,
14310,10/02/20 01:30:00 午後,29.916,,,,,
14311,10/02/20 02:00:00 午後,29.991,,,,,
14312,10/02/20 02:30:00 午後,29.815,,,,,
14313,10/02/20 03:00:00 午後,29.640,,,,,
14314,10/02/20 03:30:00 午後,29.414,,,,,
14315,10/02/20 04:00:00 午後,29.065,,,,,
14316,10/02/20 04:30:00 午後,28.965,,,,,
14317,10/02/20 05:00:00 午後,28.916,,,,,
14318,10/02/20 05:30:00 午後,28.766,,,,,
14319,10/02/20 06:00:00 午後,28.692,,,,,
14320,10/02/20 06:30:00 午後,28.667,,,,,
14321,10/02/20 07:00:00 午後,28.617,,,,,
14322,10/02/20 07:30:00 午後,28.617,,,,,
14323,10/02/20 08:00:00 午後,28.617,,,,,
14324,10/02/20 08:30:00 午後,28.617,,,,,
14325,10/02/20 09:00:00 午後,28.617,,,,,
14326,10/02/20 09:30:00 午後,28.593,,,,,
14327,10/02/20 10:00:00 午後,28.543,,,,,
14328,10/02/20 10:30:00 午後,28.468,,,,,
14329,10/02/20 11:00:00 午後,28.345,,,,,
14330,10/02/20 11:30:00 午後,28.295,,,,,
14331,10/03/20 12:00:00 午前,28.270,,,,,
14332,10/03/20 12:30:00 午前,28.270,,,,,
14333,10/03/20 01:00:00 午前,28.171,,,,,
14334,10/03/20 01:30:00 午前,28.196,,,,,
14335,10/03/20 02:00:00 午前,28.147,,,,,
14336,10/03/20 02:30:00 午前,28.097,,,,,
14337,10/03/20 03:00:00 午前,28.097,,,,,
14338,10/03/20 03:30:00 午前,28.147,,,,,
14339,10/03/20 04:00:00 午前,28.196,,,,,
14340,10/03/20 04:30:00 午前,28.295,,,,,
14341,10/03/20 05:00:00 午前,28.320,,,,,
14342,10/03/20 05:30:00 午前,28.295,,,,,
14343,10/03/20 06:00:00 午前,28.245,,,,,
14344,10/03/20 06:30:00 午前,28.245,,,,,
14345,10/03/20 07:00:00 午前,28.270,,,,,
14346,10/03/20 07:30:00 午前,28.245,,,,,
14347,10/03/20 08:00:00 午前,28.295,,,,,
14348,10/03/20 08:30:00 午前,28.320,,,,,
14349,10/03/20 09:00:00 午前,28.419,,,,,
14350,10/03/20 09:30:00 午前,28.493,,,,,
14351,10/03/20 10:00:00 午前,28.568,,,,,
14352,10/03/20 10:30:00 午前,28.642,,,,,
14353,10/03/20 11:00:00 午前,28.766,,,,,
14354,10/03/20 11:30:00 午前,28.891,,,,,
14355,10/03/20 12:00:00 午後,29.015,,,,,
14356,10/03/20 12:30:00 午後,29.290,,,,,
14357,10/03/20 01:00:00 午後,29.490,,,,,
14358,10/03/20 01:30:00 午後,29.640,,,,,
14359,10/03/20 02:00:00 午後,29.840,,,,,
14360,10/03/20 02:30:00 午後,29.765,,,,,
14361,10/03/20 03:00:00 午後,29.540,,,,,
14362,10/03/20 03:30:00 午後,29.540,,,,,
14363,10/03/20 04:00:00 午後,29.365,,,,,
14364,10/03/20 04:30:00 午後,29.140,,,,,
14365,10/03/20 05:00:00 午後,28.965,,,,,
14366,10/03/20 05:30:00 午後,28.816,,,,,
14367,10/03/20 06:00:00 午後,28.692,,,,,
14368,10/03/20 06:30:00 午後,28.617,,,,,
14369,10/03/20 07:00:00 午後,28.568,,,,,
14370,10/03/20 07:30:00 午後,28.518,,,,,
14371,10/03/20 08:00:00 午後,28.493,,,,,
14372,10/03/20 08:30:00 午後,28.468,,,,,
14373,10/03/20 09:00:00 午後,28.419,,,,,
14374,10/03/20 09:30:00 午後,28.394,,,,,
14375,10/03/20 10:00:00 午後,28.345,,,,,
14376,10/03/20 10:30:00 午後,28.320,,,,,
14377,10/03/20 11:00:00 午後,28.295,,,,,
14378,10/03/20 11:30:00 午後,28.270,,,,,
14379,10/04/20 12:00:00 午前,28.245,,,,,
14380,10/04/20 12:30:00 午前,28.196,,,,,
14381,10/04/20 01:00:00 午前,28.171,,,,,
14382,10/04/20 01:30:00 午前,28.122,,,,,
14383,10/04/20 02:00:00 午前,28.023,,,,,
14384,10/04/20 02:30:00 午前,27.875,,,,,
14385,10/04/20 03:00:00 午前,27.776,,,,,
14386,10/04/20 03:30:00 午前,27.530,,,,,
